Date,Time,Particle_Count
06/02/2026,11:34:27,"11200
"
06/02/2026,11:34:28,"11200
"
06/02/2026,11:34:29,"11300
"
06/02/2026,11:34:30,"11400
"
06/02/2026,11:34:31,"11300
"
06/02/2026,11:34:32,"10800
"
06/02/2026,11:34:33,"10100
"
06/02/2026,11:34:34,"9820
"
06/02/2026,11:34:35,"9850
"
06/02/2026,11:34:36,"9890
"
06/02/2026,11:34:37,"10000
"
06/02/2026,11:34:38,"10500
"
06/02/2026,11:34:39,"10400
"
06/02/2026,11:34:40,"10300
"
06/02/2026,11:34:41,"10400
"
06/02/2026,11:34:42,"10500
"
06/02/2026,11:34:43,"10100
"
06/02/2026,11:34:44,"10200
"
06/02/2026,11:34:45,"10200
"
06/02/2026,11:34:46,"10200
"
06/02/2026,11:34:47,"10300
"
06/02/2026,11:34:48,"10400
"
06/02/2026,11:34:49,"10500
"
06/02/2026,11:34:50,"10600
"
06/02/2026,11:34:51,"10500
"
06/02/2026,11:34:52,"10300
"
06/02/2026,11:34:53,"10400
"
06/02/2026,11:34:54,"10200
"
06/02/2026,11:34:55,"10100
"
06/02/2026,11:34:56,"10400
"
06/02/2026,11:34:57,"10600
"
06/02/2026,11:34:58,"10800
"
06/02/2026,11:34:59,"10800
"
06/02/2026,11:35:00,"10900
"
06/02/2026,11:35:01,"10900
"
06/02/2026,11:35:02,"10800
"
06/02/2026,11:35:03,"11000
"
06/02/2026,11:35:04,"10900
"
06/02/2026,11:35:05,"10900
"
06/02/2026,11:35:06,"11000
"
06/02/2026,11:35:07,"11100
"
06/02/2026,11:35:08,"11100
"
06/02/2026,11:35:09,"11300
"
06/02/2026,11:35:10,"11400
"
06/02/2026,11:35:11,"11300
"
06/02/2026,11:35:12,"11100
"
06/02/2026,11:35:13,"11000
"
06/02/2026,11:35:14,"10400
"
06/02/2026,11:35:15,"10300
"
06/02/2026,11:35:16,"10500
"
06/02/2026,11:35:17,"10700
"
06/02/2026,11:35:18,"10500
"
06/02/2026,11:35:19,"10400
"
06/02/2026,11:35:20,"10300
"
06/02/2026,11:35:21,"10000
"
06/02/2026,11:35:22,"10000
"
06/02/2026,11:35:23,"9860
"
06/02/2026,11:35:24,"10100
"
06/02/2026,11:35:25,"9940
"
06/02/2026,11:35:26,"9720
"
06/02/2026,11:35:27,"9450
"
06/02/2026,11:35:28,"9060
"
06/02/2026,11:35:29,"9160
"
06/02/2026,11:35:30,"9590
"
06/02/2026,11:35:31,"9270
"
06/02/2026,11:35:32,"9080
"
06/02/2026,11:35:33,"8780
"
06/02/2026,11:35:34,"8820
"
06/02/2026,11:35:35,"9260
"
06/02/2026,11:35:36,"9350
"
06/02/2026,11:35:37,"9380
"
06/02/2026,11:35:38,"9520
"
06/02/2026,11:35:39,"9680
"
06/02/2026,11:35:40,"9730
"
06/02/2026,11:35:41,"9560
"
06/02/2026,11:35:42,"9330
"
06/02/2026,11:35:43,"9200
"
06/02/2026,11:35:44,"9150
"
06/02/2026,11:35:45,"8800
"
06/02/2026,11:35:46,"8600
"
06/02/2026,11:35:47,"8610
"
06/02/2026,11:35:48,"9300
"
06/02/2026,11:35:49,"9830
"
06/02/2026,11:35:50,"9640
"
06/02/2026,11:35:51,"9880
"
06/02/2026,11:35:52,"9600
"
06/02/2026,11:35:53,"9570
"
06/02/2026,11:35:54,"9440
"
06/02/2026,11:35:55,"9430
"
06/02/2026,11:35:56,"9570
"
06/02/2026,11:35:57,"9300
"
06/02/2026,11:35:58,"9070
"
06/02/2026,11:35:59,"9410
"
06/02/2026,11:36:00,"9250
"
06/02/2026,11:36:01,"9130
"
06/02/2026,11:36:02,"9770
"
06/02/2026,11:36:03,"11000
"
06/02/2026,11:36:04,"10000
"
06/02/2026,11:36:05,"9530
"
06/02/2026,11:36:06,"9380
"
06/02/2026,11:36:07,"9250
"
06/02/2026,11:36:08,"9040
"
06/02/2026,11:36:09,"8550
"
06/02/2026,11:36:10,"8560
"
06/02/2026,11:36:11,"8160
"
06/02/2026,11:36:12,"8400
"
06/02/2026,11:36:13,"8430
"
06/02/2026,11:36:14,"7910
"
06/02/2026,11:36:15,"7700
"
06/02/2026,11:36:16,"7710
"
06/02/2026,11:36:17,"7790
"
06/02/2026,11:36:18,"7610
"
06/02/2026,11:36:19,"7850
"
06/02/2026,11:36:20,"7880
"
06/02/2026,11:36:21,"7940
"
06/02/2026,11:36:22,"7980
"
06/02/2026,11:36:23,"7750
"
06/02/2026,11:36:24,"7530
"
06/02/2026,11:36:25,"7090
"
06/02/2026,11:36:26,"7110
"
06/02/2026,11:36:27,"7200
"
06/02/2026,11:36:28,"7590
"
06/02/2026,11:36:29,"7310
"
06/02/2026,11:36:30,"7290
"
06/02/2026,11:36:31,"7090
"
06/02/2026,11:36:32,"7100
"
06/02/2026,11:36:33,"6950
"
06/02/2026,11:36:34,"7010
"
06/02/2026,11:36:35,"7050
"
06/02/2026,11:36:36,"7120
"
06/02/2026,11:36:37,"6990
"
06/02/2026,11:36:38,"6840
"
06/02/2026,11:36:39,"6800
"
06/02/2026,11:36:40,"6860
"
06/02/2026,11:36:41,"6850
"
06/02/2026,11:36:42,"6760
"
06/02/2026,11:36:43,"6760
"
06/02/2026,11:36:44,"6910
"
06/02/2026,11:36:45,"6790
"
06/02/2026,11:36:46,"6740
"
06/02/2026,11:36:47,"6580
"
06/02/2026,11:36:48,"6530
"
06/02/2026,11:36:49,"6500
"
06/02/2026,11:36:50,"6530
"
06/02/2026,11:36:51,"6580
"
06/02/2026,11:36:52,"6580
"
06/02/2026,11:36:53,"6560
"
06/02/2026,11:36:54,"6730
"
06/02/2026,11:36:55,"6590
"
06/02/2026,11:36:56,"6550
"
06/02/2026,11:36:57,"6510
"
06/02/2026,11:36:58,"6370
"
06/02/2026,11:36:59,"6340
"
06/02/2026,11:37:00,"6400
"
06/02/2026,11:37:01,"6440
"
06/02/2026,11:37:02,"6290
"
06/02/2026,11:37:03,"6410
"
06/02/2026,11:37:04,"6370
"
06/02/2026,11:37:05,"6150
"
06/02/2026,11:37:06,"6320
"
06/02/2026,11:37:07,"6250
"
06/02/2026,11:37:08,"6240
"
06/02/2026,11:37:09,"6230
"
06/02/2026,11:37:10,"5970
"
06/02/2026,11:37:11,"6010
"
06/02/2026,11:37:12,"6040
"
06/02/2026,11:37:13,"6260
"
06/02/2026,11:37:14,"6270
"
06/02/2026,11:37:15,"6250
"
06/02/2026,11:37:16,"6370
"
06/02/2026,11:37:17,"6450
"
06/02/2026,11:37:18,"6640
"
06/02/2026,11:37:19,"6630
"
06/02/2026,11:37:20,"6640
"
06/02/2026,11:37:21,"6560
"
06/02/2026,11:37:22,"6690
"
06/02/2026,11:37:23,"6710
"
06/02/2026,11:37:24,"6870
"
06/02/2026,11:37:25,"6780
"
06/02/2026,11:37:26,"6840
"
06/02/2026,11:37:27,"6710
"
06/02/2026,11:37:28,"6660
"
06/02/2026,11:37:29,"6640
"
06/02/2026,11:37:30,"6650
"
06/02/2026,11:37:31,"6560
"
06/02/2026,11:37:32,"6580
"
06/02/2026,11:37:33,"6500
"
06/02/2026,11:37:34,"6550
"
06/02/2026,11:37:35,"6500
"
06/02/2026,11:37:36,"6410
"
06/02/2026,11:37:37,"6330
"
06/02/2026,11:37:38,"6410
"
06/02/2026,11:37:39,"6390
"
06/02/2026,11:37:40,"6260
"
06/02/2026,11:37:41,"6480
"
06/02/2026,11:37:42,"6440
"
06/02/2026,11:37:43,"6430
"
06/02/2026,11:37:44,"6370
"
06/02/2026,11:37:45,"6320
"
06/02/2026,11:37:46,"6390
"
06/02/2026,11:37:47,"6440
"
06/02/2026,11:37:48,"6710
"
06/02/2026,11:37:49,"6580
"
06/02/2026,11:37:50,"6520
"
06/02/2026,11:37:51,"6530
"
06/02/2026,11:37:52,"6550
"
06/02/2026,11:37:53,"6630
"
06/02/2026,11:37:54,"6680
"
06/02/2026,11:37:55,"6740
"
06/02/2026,11:37:56,"6630
"
06/02/2026,11:37:57,"6740
"
06/02/2026,11:37:58,"6720
"
06/02/2026,11:37:59,"6770
"
06/02/2026,11:38:00,"6750
"
06/02/2026,11:38:01,"6870
"
06/02/2026,11:38:02,"6850
"
06/02/2026,11:38:03,"6950
"
06/02/2026,11:38:04,"7050
"
06/02/2026,11:38:05,"7120
"
