Timestamp,Particle Count (pt/cc),Vehicles In Frame,EVs,Diesel,Benzin
12:59:04,3930,0,0,0,0
12:59:05,3800,0,0,0,0
12:59:06,3810,0,0,0,0
12:59:07,3770,0,0,0,0
12:59:08,3840,0,0,0,0
12:59:09,3860,0,0,0,0
12:59:10,4250,0,0,0,0
12:59:11,4360,0,0,0,0
12:59:12,4150,0,0,0,0
12:59:13,4120,0,0,0,0
12:59:14,4030,0,0,0,0
12:59:15,4000,0,0,0,0
12:59:16,4000,0,0,0,0
12:59:17,3920,0,0,0,0
12:59:18,4030,0,0,0,0
12:59:19,4070,0,0,0,0
12:59:20,4010,0,0,0,0
12:59:21,3930,0,0,0,0
12:59:22,3950,0,0,0,0
12:59:23,3980,0,0,0,0
12:59:24,4010,0,0,0,0
12:59:25,4160,0,0,0,0
12:59:26,4010,0,0,0,0
12:59:27,4020,0,0,0,0
12:59:28,4000,0,0,0,0
12:59:29,4040,0,0,0,0
12:59:30,4090,0,0,0,0
12:59:31,4040,0,0,0,0
12:59:32,4040,0,0,0,0
12:59:33,4070,0,0,0,0
12:59:34,3970,0,0,0,0
12:59:35,4030,1,1,0,0
12:59:36,4060,0,0,0,0
12:59:37,4140,0,0,0,0
12:59:38,4500,0,0,0,0
12:59:39,4310,0,0,0,0
12:59:40,4620,1,1,0,0
12:59:41,4490,0,0,0,0
12:59:42,4470,0,0,0,0
12:59:43,4340,0,0,0,0
12:59:44,4260,0,0,0,0
12:59:45,4130,0,0,0,0
12:59:46,4190,2,0,0,2
12:59:47,3850,0,0,0,0
12:59:48,3990,1,0,1,0
12:59:49,3950,0,0,0,0
12:59:50,3940,0,0,0,0
12:59:51,3910,1,0,1,0
12:59:52,3980,0,0,0,0
12:59:53,3990,0,0,0,0
12:59:54,4010,0,0,0,0
12:59:55,3960,0,0,0,0
12:59:56,3910,0,0,0,0
12:59:57,3940,0,0,0,0
12:59:58,3880,0,0,0,0
12:59:59,3940,1,0,1,0
13:00:00,3880,0,0,0,0
13:00:01,3850,0,0,0,0
13:00:02,3970,0,0,0,0
13:00:03,3860,0,0,0,0
13:00:04,3870,0,0,0,0
13:00:05,3890,1,0,1,0
13:00:06,3840,0,0,0,0
13:00:07,3810,0,0,0,0
13:00:08,3960,1,0,1,0
13:00:09,3870,0,0,0,0
13:00:10,4010,1,0,1,0
13:00:11,3980,0,0,0,0
13:00:12,4380,0,0,0,0
13:00:13,4760,1,0,0,1
13:00:14,4090,0,0,0,0
13:00:15,3950,0,0,0,0
13:00:16,3940,0,0,0,0
13:00:17,4450,0,0,0,0
13:00:18,4550,0,0,0,0
13:00:19,4310,0,0,0,0
13:00:20,4470,0,0,0,0
13:00:21,4560,0,0,0,0
13:00:22,4980,0,0,0,0
13:00:23,4930,0,0,0,0
13:00:24,5210,0,0,0,0
13:00:25,5000,0,0,0,0
13:00:26,4870,0,0,0,0
13:00:27,4670,0,0,0,0
13:00:28,4250,0,0,0,0
13:00:29,4290,0,0,0,0
13:00:30,7510,0,0,0,0
13:00:31,11000,0,0,0,0
13:00:32,11100,0,0,0,0
13:00:33,10800,0,0,0,0
13:00:34,8870,0,0,0,0
13:00:35,8600,0,0,0,0
13:00:36,6510,0,0,0,0
13:00:37,5850,0,0,0,0
13:00:38,6160,0,0,0,0
13:00:39,5880,0,0,0,0
13:00:40,5640,0,0,0,0
13:00:41,5770,0,0,0,0
13:00:42,6300,0,0,0,0
13:00:43,6110,0,0,0,0
13:00:44,5470,0,0,0,0
13:00:45,4610,0,0,0,0
13:00:46,4400,0,0,0,0
13:00:47,4110,0,0,0,0
13:00:48,3960,0,0,0,0
13:00:49,4020,0,0,0,0
13:00:50,4100,0,0,0,0
13:00:51,4090,0,0,0,0
13:00:52,4060,0,0,0,0
13:00:53,4030,0,0,0,0
13:00:54,3990,0,0,0,0
13:00:55,4060,0,0,0,0
13:00:56,4080,0,0,0,0
13:00:57,4050,0,0,0,0
13:00:58,3830,0,0,0,0
13:00:59,3830,0,0,0,0
13:01:00,3830,0,0,0,0
13:01:01,3820,0,0,0,0
13:01:02,3880,0,0,0,0
13:01:03,3790,0,0,0,0
13:01:04,3850,0,0,0,0
13:01:05,3790,0,0,0,0
13:01:06,3890,0,0,0,0
13:01:07,3990,0,0,0,0
13:01:08,3940,0,0,0,0
13:01:09,3970,0,0,0,0
13:01:10,3990,0,0,0,0
13:01:11,4050,0,0,0,0
13:01:12,4030,0,0,0,0
13:01:13,3970,0,0,0,0
13:01:14,4110,0,0,0,0
13:01:15,4100,0,0,0,0
13:01:16,4030,0,0,0,0
13:01:17,4070,0,0,0,0
13:01:18,4120,0,0,0,0
13:01:19,3870,0,0,0,0
13:01:20,3930,0,0,0,0
13:01:21,3990,0,0,0,0
13:01:22,3980,1,1,0,0
13:01:23,4090,0,0,0,0
13:01:24,3860,0,0,0,0
13:01:25,3930,1,0,0,1
13:01:26,4020,0,0,0,0
13:01:27,4010,0,0,0,0
